priority,transaction_id,cohort,merchant,amount,primary_cause,recommended_action
P1,f4e92e8e-a519-4342-b279-2457d40c4f8f,A_NOT_APPROVED,TRP Taste,1000,Awaiting approval,Add memo
P1,f4e92e8e-a519-4342-b279-2457d40c4f8f,A_NOT_APPROVED,TRP Taste,1000,Awaiting approval,Approve transaction
P2,f4e92e8e-a519-4342-b279-2457d40c4f8f,A_NOT_APPROVED,TRP Taste,1000,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,a3971103-4ef0-4ec9-a324-9ab7ad8b27de,A_NOT_APPROVED,Uber,6.15,Awaiting approval,Approve transaction
P2,a3971103-4ef0-4ec9-a324-9ab7ad8b27de,A_NOT_APPROVED,Uber,6.15,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,782dbd88-a860-435e-a070-e467d4365d45,A_NOT_APPROVED,Uber,34.98,Awaiting approval,Approve transaction
P2,782dbd88-a860-435e-a070-e467d4365d45,A_NOT_APPROVED,Uber,34.98,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,244eb6bc-0bdb-4d16-9d97-191b68269c52,A_NOT_APPROVED,Tastes On The Fly,36.24,Awaiting approval,Approve transaction
P2,244eb6bc-0bdb-4d16-9d97-191b68269c52,A_NOT_APPROVED,Tastes On The Fly,36.24,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,a0b3b97b-be63-4c0e-b6f6-3b62bc88479a,A_NOT_APPROVED,Klein's Deli,21.19,Awaiting approval,Approve transaction
P2,a0b3b97b-be63-4c0e-b6f6-3b62bc88479a,A_NOT_APPROVED,Klein's Deli,21.19,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,5a969228-3f7e-4577-b084-aebddeb67d50,A_NOT_APPROVED,City Bar St91,15.7,Awaiting approval,Approve transaction
P2,5a969228-3f7e-4577-b084-aebddeb67d50,A_NOT_APPROVED,City Bar St91,15.7,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,397adae9-a0b6-4fc4-b1a0-1cf9dc0d3596,A_NOT_APPROVED,Marriott,19.81,Awaiting approval,Approve transaction
P2,397adae9-a0b6-4fc4-b1a0-1cf9dc0d3596,A_NOT_APPROVED,Marriott,19.81,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,05551224-970e-46bf-b907-424d73961c73,A_NOT_APPROVED,Uber,14.23,Awaiting approval,Approve transaction
P2,05551224-970e-46bf-b907-424d73961c73,A_NOT_APPROVED,Uber,14.23,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,d60eb580-320f-4b2f-81cd-ddc57cbdf041,A_NOT_APPROVED,Freshii,17.6,Awaiting approval,Approve transaction
P2,d60eb580-320f-4b2f-81cd-ddc57cbdf041,A_NOT_APPROVED,Freshii,17.6,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,f6ab61b8-0b23-4e0b-a40d-b65687e88171,A_NOT_APPROVED,Porter,390.66,Awaiting approval,Approve transaction
P2,f6ab61b8-0b23-4e0b-a40d-b65687e88171,A_NOT_APPROVED,Porter,390.66,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,1e1ed835-0413-4497-afda-858d4c5f1209,A_NOT_APPROVED,Cousin's Bar-B-Q,32.61,Awaiting approval,Approve transaction
P2,1e1ed835-0413-4497-afda-858d4c5f1209,A_NOT_APPROVED,Cousin's Bar-B-Q,32.61,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,e6cf85f7-23b9-481e-9380-8bee2551fb3c,A_NOT_APPROVED,Marriott,267.03,Awaiting approval,Approve transaction
P2,e6cf85f7-23b9-481e-9380-8bee2551fb3c,A_NOT_APPROVED,Marriott,267.03,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,09fb53d4-0772-4b97-934d-bdc7444a0883,A_NOT_APPROVED,Lyft,34.44,Awaiting approval,Approve transaction
P2,09fb53d4-0772-4b97-934d-bdc7444a0883,A_NOT_APPROVED,Lyft,34.44,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,e72c84c8-ff1a-4b77-9cc0-c3915ff85e38,A_NOT_APPROVED,Google Cloud,2000,Awaiting approval,Approve transaction
P2,e72c84c8-ff1a-4b77-9cc0-c3915ff85e38,A_NOT_APPROVED,Google Cloud,2000,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,239cfda7-98cd-418f-b981-b89c0722d11e,A_NOT_APPROVED,Uber,30.99,Awaiting approval,Approve transaction
P2,239cfda7-98cd-418f-b981-b89c0722d11e,A_NOT_APPROVED,Uber,30.99,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,d21841ef-efa6-42af-b6cd-b97ca67d86fc,A_NOT_APPROVED,Marriott,8.56,Awaiting approval,Approve transaction
P2,d21841ef-efa6-42af-b6cd-b97ca67d86fc,A_NOT_APPROVED,Marriott,8.56,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,f537d65e-532d-4b3b-a4bf-fe007f93966f,A_NOT_APPROVED,Marriott,49.73,Awaiting approval,Approve transaction
P2,f537d65e-532d-4b3b-a4bf-fe007f93966f,A_NOT_APPROVED,Marriott,49.73,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,58f9b961-e98f-4a02-ae51-6eb30abc6576,A_NOT_APPROVED,Uber,42.98,Awaiting approval,Approve transaction
P2,58f9b961-e98f-4a02-ae51-6eb30abc6576,A_NOT_APPROVED,Uber,42.98,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,9899ed9f-4af7-46b1-b703-dd8547434879,A_NOT_APPROVED,Marriott,17.63,Awaiting approval,Approve transaction
P2,9899ed9f-4af7-46b1-b703-dd8547434879,A_NOT_APPROVED,Marriott,17.63,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,f19b0fe1-e29b-445b-87a6-82b2b80e76d2,A_NOT_APPROVED,Flywheel,27.55,Awaiting approval,Approve transaction
P2,f19b0fe1-e29b-445b-87a6-82b2b80e76d2,A_NOT_APPROVED,Flywheel,27.55,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,8c14c70c-c01a-4b54-8df4-f9ab44ea4c56,A_NOT_APPROVED,Marriott,237.95,Awaiting approval,Approve transaction
P2,8c14c70c-c01a-4b54-8df4-f9ab44ea4c56,A_NOT_APPROVED,Marriott,237.95,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,81abffe8-7071-4a27-9185-ce31b6a14c6a,A_NOT_APPROVED,Marriott,17.12,Awaiting approval,Approve transaction
P2,81abffe8-7071-4a27-9185-ce31b6a14c6a,A_NOT_APPROVED,Marriott,17.12,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,da81211d-6ec4-4592-8bbb-abb4a0e97eca,A_NOT_APPROVED,Uber,11.95,Awaiting approval,Approve transaction
P2,da81211d-6ec4-4592-8bbb-abb4a0e97eca,A_NOT_APPROVED,Uber,11.95,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,af3ea254-d1cc-490f-9c8c-a8b23f30579c,A_NOT_APPROVED,Uber,10.95,Awaiting approval,Approve transaction
P2,af3ea254-d1cc-490f-9c8c-a8b23f30579c,A_NOT_APPROVED,Uber,10.95,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,4503e067-5dc0-4844-b4f9-ad55c27cf1f6,A_NOT_APPROVED,Uber,2,Awaiting approval,Approve transaction
P2,4503e067-5dc0-4844-b4f9-ad55c27cf1f6,A_NOT_APPROVED,Uber,2,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,b0323023-0e58-46e2-92a7-44671659343e,A_NOT_APPROVED,Bombay Darbar,33.17,Awaiting approval,Approve transaction
